parents_count	thing_to
1	/thing:11319
1	/thing:11335
1	/thing:11341
1	/thing:11368
1	/thing:11371
1	/thing:11372
1	/thing:11387
1	/thing:11419
1	/thing:11421
1	/thing:11423
1	/thing:11425
1	/thing:11428
1	/thing:11435
1	/thing:11444
1	/thing:11452
1	/thing:11456
1	/thing:11485
1	/thing:11493
1	/thing:11496
1	/thing:11497
1	/thing:11498
1	/thing:11501
1	/thing:11506
1	/thing:11507
1	/thing:11518
1	/thing:11519
1	/thing:11521
1	/thing:11529
1	/thing:11536
1	/thing:11553
1	/thing:11559
1	/thing:11571
1	/thing:11573
1	/thing:11578
1	/thing:11581
1	/thing:11582
1	/thing:11585
1	/thing:11593
1	/thing:11595
1	/thing:1160
1	/thing:11603
1	/thing:11614
1	/thing:11618
1	/thing:11620
1	/thing:11622
1	/thing:11627
1	/thing:11629
1	/thing:1163
1	/thing:11632
1	/thing:11641
1	/thing:11644
1	/thing:11647
1	/thing:11652
1	/thing:11659
1	/thing:11663
1	/thing:11664
1	/thing:11670
1	/thing:11671
1	/thing:11672
1	/thing:11674
1	/thing:11683
1	/thing:11685
1	/thing:11687
1	/thing:11691
1	/thing:11706
1	/thing:11709
1	/thing:11717
1	/thing:11719
1	/thing:11730
1	/thing:11731
1	/thing:11739
1	/thing:11745
1	/thing:11748
1	/thing:11750
1	/thing:11752
1	/thing:11754
1	/thing:1176
1	/thing:11779
1	/thing:11781
1	/thing:11786
1	/thing:11791
1	/thing:11811
1	/thing:11812
1	/thing:11816
1	/thing:11822
1	/thing:11838
1	/thing:11841
1	/thing:11846
1	/thing:11848
1	/thing:11857
1	/thing:11859
1	/thing:11892
1	/thing:11898
1	/thing:11914
1	/thing:11931
1	/thing:11938
1	/thing:11943
1	/thing:11950
1	/thing:11951
1	/thing:11953
1	/thing:11958
1	/thing:11962
1	/thing:11978
1	/thing:11980
1	/thing:11981
1	/thing:11983
1	/thing:11987
1	/thing:11995
1	/thing:12004
1	/thing:12005
1	/thing:12012
1	/thing:12051
1	/thing:12057
1	/thing:12060
1	/thing:12062
1	/thing:12073
1	/thing:12077
1	/thing:12080
1	/thing:12085
1	/thing:12096
1	/thing:12102
1	/thing:12104
1	/thing:12107
1	/thing:12114
1	/thing:12115
1	/thing:12117
1	/thing:12118
1	/thing:12119
1	/thing:12120
1	/thing:12123
1	/thing:12126
1	/thing:12148
1	/thing:12151
1	/thing:12155
1	/thing:12160
1	/thing:12161
1	/thing:12166
1	/thing:12168
1	/thing:12175
1	/thing:12181
1	/thing:12185
1	/thing:12186
1	/thing:12189
1	/thing:12193
1	/thing:12195
1	/thing:12208
1	/thing:12215
1	/thing:1222
1	/thing:12220
1	/thing:12221
1	/thing:12226
1	/thing:12246
1	/thing:12249
1	/thing:12262
1	/thing:12264
1	/thing:12266
1	/thing:12268
1	/thing:12273
1	/thing:12276
1	/thing:12285
1	/thing:12287
1	/thing:12288
1	/thing:12289
1	/thing:12296
1	/thing:12299
1	/thing:12301
1	/thing:12305
1	/thing:12319
1	/thing:1232
1	/thing:12320
1	/thing:12326
1	/thing:12335
1	/thing:12338
1	/thing:12343
1	/thing:12348
1	/thing:12354
1	/thing:12357
1	/thing:12358
1	/thing:12360
1	/thing:12362
1	/thing:12388
1	/thing:12389
1	/thing:12395
1	/thing:12403
1	/thing:12405
1	/thing:12409
1	/thing:1241
1	/thing:12429
1	/thing:1243
1	/thing:12431
1	/thing:12439
1	/thing:12448
1	/thing:12450
1	/thing:12464
1	/thing:12467
1	/thing:1247
1	/thing:12471
1	/thing:12472
1	/thing:12473
1	/thing:12474
1	/thing:12480
1	/thing:12481
1	/thing:12486
1	/thing:12493
1	/thing:12506
1	/thing:12518
1	/thing:12522
1	/thing:12525
1	/thing:12528
1	/thing:12537
1	/thing:12561
1	/thing:12563
1	/thing:12571
1	/thing:12575
1	/thing:1258
1	/thing:12583
1	/thing:12592
1	/thing:12593
1	/thing:12597
1	/thing:12601
1	/thing:12610
1	/thing:12616
1	/thing:12619
1	/thing:12620
1	/thing:12621
1	/thing:12634
1	/thing:12639
1	/thing:12644
1	/thing:12649
1	/thing:12653
1	/thing:12654
1	/thing:12658
1	/thing:12661
1	/thing:12666
1	/thing:12677
1	/thing:12683
1	/thing:12693
1	/thing:12706
1	/thing:12710
1	/thing:12723
1	/thing:12724
1	/thing:12726
1	/thing:12728
1	/thing:12734
1	/thing:12741
